Sample,TFRC,PTEN,ATM,LDLR,CYP2B6,PIK3C3,PLCB4,GNG10,SYNJ1,HDAC6,GSTM3,ARF6,WNT11,REL,HFE,KDR,IL2RA,VPS52,PRKCI,FDFT1,RPS9,CDC40,FURIN,LEF1,GCLC,APEH,DLG1,PDGFA,BCHE,UBE2H,UPF2,UPF3A,TRPV4,RPLP0,FMR1,HBS1L,HTATSF1,YAP1,SAP30,FDXR,SDHD,GTF2H3,DMTF1,KCNA4,PCF11,SYMPK,NLK,CBFB,SIX1,MPDZ,GLS2,SGTA,WDR4,TRAF5,RNF6,PHF3,LIPC,TRIM31,TRPC3,AAK1,FOXL2,GALNT7,SMARCA2,CBX5,ADCYAP1,FZD8,NFATC1,MDK,CALM2,PPP3CB,ROCK1,CREM,SLC9A3R2,PARD6A,PPIA,SPN,NEFL,FA2H,NCOA3,AKAP1,EFNB2,PTPRS,SS18L2,PTPN12,CECR5,DLEC1,TAF1C,MAGEC2,IRAK3,FOXK2,HTR1E,ITGA10,ADAMTS7,TP53I3,PDE7B,SEMA6B,CDC25B,PAX3,SUV39H1,FGFR3,Disease_State
GSM530667,12.0462935,9.024602103,7.903272676,10.03983799,7.140670789,8.474934986,7.37281955,9.513736022,7.959762384,9.51516439,9.225069538,7.325458463,7.314029057,7.398384111,7.188292386,7.68986753,7.475462796,9.388189815,7.955196382,8.760083302,13.5250608,8.881234004,9.144321985,10.26346448,8.432873324,10.73280794,7.445761034,7.266245371,7.331863747,8.384070635,8.437823418,9.032424036,8.894488968,11.32039269,7.229047568,7.390520211,9.777947365,10.70186134,9.061429301,8.884798161,9.337910633,8.089220596,9.718511881,7.263553456,8.649451214,9.871167814,7.823591986,11.52480353,7.417981793,8.288832252,7.207190877,9.457479762,8.807604681,7.600075948,7.517198418,8.588484419,7.824965591,7.30524323,7.555008909,7.331863747,7.208928157,7.31466029,9.107810161,8.418453098,7.171162645,8.058115533,9.078907702,8.541622732,12.88851227,10.1519945,7.347366362,7.302130244,7.7299544,7.508672753,8.280293803,7.897324647,7.294103747,7.227779746,9.760528027,7.406991788,10.04586346,7.665318593,11.66220431,9.490167189,10.3925433,7.268633075,8.904164966,7.921321267,8.795141733,7.304619539,7.460390828,9.391858342,8.684007538,8.425673646,9.103364257,7.795948499,9.675941987,7.275133636,9.123393266,9.115206589,Metastasis
GSM530899,13.3294433,8.636080313,7.930589406,10.22621653,7.174849295,9.011758514,7.324427486,10.5905379,7.697010628,9.087010803,8.165138049,7.290594481,7.56966401,7.493292344,7.245546586,7.518715418,7.387723289,9.429455956,8.379215819,9.822673958,13.66089148,9.267573141,8.589333242,10.82550357,8.720437188,10.48720668,7.499847843,7.238319902,7.34843082,9.85176834,9.281438855,9.020786309,9.161341189,12.28829861,7.191124244,7.558970226,10.10350677,11.21737844,9.187268442,8.863174045,9.845871388,8.483910532,9.343368824,7.253551285,8.175861648,8.869786278,7.902750538,11.24668557,8.453497858,9.510060844,7.156878746,8.917958791,9.035851738,7.694437568,7.500023427,9.133595,7.228100286,7.340944953,7.312569609,7.309759967,7.383019928,7.380503599,9.297779362,8.303085501,7.15880126,7.978112473,8.353201172,8.965854899,12.92910365,9.718857711,7.567981951,7.31886394,7.617964123,7.340261817,7.803961444,7.776932909,8.030937831,7.318166427,10.04442687,7.429413062,9.450635342,7.437006301,11.5939149,9.401048686,10.62348621,7.255380872,8.581786742,9.679514809,8.897508559,7.300576154,7.391641603,8.470772317,7.65553389,8.576908181,8.533969846,7.847919078,9.385330142,7.658730858,8.037704389,8.832663689,Metastasis
GSM531283,13.55788755,9.252271739,7.877542528,10.90924373,7.139119115,8.818925065,7.369659262,10.29358445,8.011823175,9.448272817,8.218117537,7.330568934,7.348106644,7.402802432,7.193188506,7.860975285,7.281030602,9.428447223,8.355012175,10.70925559,13.41274907,9.214125782,9.243747951,10.38258035,8.375984037,10.74265983,7.514169773,7.35318689,7.294932805,8.521222014,8.455528617,9.648501849,8.72074851,11.74474763,7.188023507,7.358953944,9.181157292,11.59043732,9.684077756,8.395629287,10.23720731,8.106584333,9.393928911,7.351951765,9.150662862,8.916314329,7.777202188,12.30154883,7.418931137,7.910666192,7.263592462,9.189229719,8.508051387,7.614050062,7.512593791,8.956751274,7.840653516,7.278923786,7.405810064,7.321981842,7.183706055,7.283831566,9.27540072,8.362616457,7.200266884,9.227881506,8.566433275,8.958514038,13.46480758,10.58652384,7.420706654,7.629827761,7.785293537,7.527685234,8.029169733,7.975250656,7.32529593,7.378373793,9.527721855,7.390308784,9.72219014,7.478261104,11.49084728,9.292897159,10.45549821,7.31364333,9.010904075,7.300421426,8.792082566,7.298367954,7.359587529,10.87637981,8.496276151,8.042876948,8.784937906,8.006768205,9.540200824,7.356692852,9.349306279,9.964031501,Metastasis
GSM531284,12.16726792,7.856432725,8.102055311,9.537592596,7.185712391,8.66462289,7.235221819,8.888161175,8.191153257,10.21024175,8.653474859,7.227674277,7.295323041,7.327175183,7.194765664,7.629599978,7.246579587,8.825214272,8.476590357,8.824880471,13.07785452,9.744445068,9.497433703,10.20550797,9.070999666,10.2888514,7.39078616,7.21893322,7.174413934,8.389775281,8.757862184,9.008937244,8.718769745,11.64056474,7.190726491,7.348343329,9.68706193,11.37333057,9.122043026,8.584850739,10.58875181,8.248563097,9.445988059,7.269266736,9.364615384,9.413417726,8.49744569,12.01526732,7.592792872,8.182524204,7.211691269,9.21527103,8.478608859,7.810742694,7.484994266,8.739434234,7.325034447,7.232199474,7.743362115,7.287202992,7.19314877,7.33286228,8.792890369,8.391075906,7.117855327,7.465395161,7.70870732,8.090208315,13.33880614,9.946083658,7.370460941,7.674489717,8.309861961,7.625272584,8.126383704,7.908024576,7.42838661,7.38540366,9.771347943,7.409428768,8.938280354,7.44256591,10.96529082,9.176751747,10.59762101,7.224355233,8.650111726,7.232199474,8.953402182,7.265498756,7.378637402,10.17180256,8.159913055,7.919069775,8.989518237,7.990663406,9.608405849,7.330723765,9.66234352,7.886260745,Metastasis
GSM531285,13.2890334,8.816778129,7.911187185,11.58305945,7.194014006,8.365188019,7.485363261,9.819216435,7.995597071,8.621420163,7.966513821,7.293556203,7.434213325,7.479284842,7.262770675,7.684311595,7.500059694,9.451471351,8.122271481,9.582372414,13.33762048,9.005587551,9.885066575,8.410823306,8.609597298,10.79354152,7.703726583,7.310973088,7.252492805,8.495726024,8.702512878,8.595621472,9.606197495,12.41867266,7.25173005,7.26163709,9.47631615,11.0606672,9.254090432,9.039587297,10.22054584,8.283939498,9.70193913,7.789848362,8.638631497,8.862465987,7.939465303,11.4578779,7.530712657,8.324178035,7.200583072,8.919540545,8.634872244,7.587189192,7.575066568,8.64016531,7.681582951,7.314783786,7.328385323,7.302661181,7.458616465,7.398978833,8.862106983,8.494858207,7.156291741,8.187675449,8.160418611,8.644630714,13.20912321,9.180895259,7.390941546,7.794220228,7.879418542,8.229484394,8.247643659,7.791556797,7.468381776,7.43350431,10.35867633,7.425790255,8.91204389,7.617696291,11.1886094,9.060456462,10.01198853,7.284535189,8.74741517,7.186995472,8.251603144,7.237977409,7.25173005,9.323746761,9.201192046,8.074264634,7.548512229,7.804798399,8.943808718,7.27804555,8.714489935,8.618314519,Metastasis
GSM531286,11.85241057,8.765127477,8.156315574,10.76386988,7.137107366,8.389772834,7.463438734,11.43335116,8.253213231,9.568494634,8.336913577,7.393185508,7.843629669,7.308997146,7.223132936,8.039153958,7.344346483,8.899411257,7.782094886,9.120180329,14.07742343,9.361878769,8.409939125,9.66993774,8.764496269,9.687596772,7.450633947,7.290547374,7.262470224,8.380589751,8.19987816,9.010909423,10.2317229,11.94984603,7.150452265,7.44063306,9.314893196,11.35475974,10.30902814,7.771419244,10.61828763,8.557969789,9.844168725,7.420547171,9.527576838,8.46734962,7.533090955,12.05542555,8.237178681,9.309719763,7.213536388,8.667906809,8.393420416,7.586440409,7.645536881,8.681340423,7.520752878,7.271883943,7.613195637,7.282746248,7.556849245,7.334378028,8.852538197,8.747987339,7.22951376,7.922675492,7.814712508,8.493764408,13.33217281,10.15448269,7.600097709,7.342919721,7.459177796,7.454909389,8.285670294,7.904308853,7.247844146,7.217890995,9.387055486,7.334079661,9.324329398,7.504166499,11.13107352,9.109787833,11.49995569,7.27811683,8.799454354,7.293721485,8.07719744,7.257128318,7.417670806,10.38610364,8.115334921,8.146580467,9.273414315,7.670462965,8.754563039,7.433856368,8.986424529,10.7096907,Metastasis
GSM531287,11.80642975,9.020846955,7.922392683,9.51776033,7.228136254,8.394243912,7.456176819,10.47124801,7.925090316,10.33677585,8.327360123,7.336431197,7.302190317,7.409449931,7.205427623,8.002060718,7.39394134,9.280656944,7.85246199,8.777828679,13.6983001,9.418083695,9.191883472,9.074076333,9.099220269,10.31988822,7.536852763,7.257051598,8.831803146,8.547701632,8.808299679,9.003900071,9.120186784,11.37249566,7.239165777,7.580814299,9.184355748,10.77547823,9.127341368,7.918005421,9.800400604,7.827930055,9.718928146,7.279398028,9.225341107,9.244160022,7.738914536,11.88919991,8.08706044,9.715440009,7.167932628,9.0607812,7.968471188,7.701250508,7.58468778,8.624552121,7.352755737,7.252739123,8.028376825,7.270363124,7.278512032,7.321907553,8.970731797,8.528178932,7.184430079,8.355863746,8.142670027,8.770880474,12.87403046,10.57673556,7.407895465,7.348271267,7.712528193,7.5472188,7.773849137,8.043297955,7.237938564,7.222007546,9.638722356,7.414033464,10.33961481,7.564834782,10.77203831,9.095813711,9.804071745,7.246853456,8.936998615,7.250258085,8.663072232,7.342328688,7.323344694,10.12685669,8.796912994,8.578927249,8.899521868,7.672412065,8.799340077,7.348580964,9.246756867,10.07322135,Metastasis
GSM531288,10.70139522,9.003935844,7.891357696,10.84841782,7.18555369,8.337302442,7.30670528,11.47907943,7.939043637,8.977374267,8.648722422,7.318300071,7.469403096,7.363259762,7.264919356,8.165201681,7.494596194,9.147758292,7.776473811,9.349614999,13.52138119,9.289152669,8.982313982,9.35153475,8.376903365,9.841377014,7.498597633,7.415736775,7.319451121,8.812836702,8.425818336,8.41803547,8.986209852,12.51999365,7.224580245,7.407391705,9.041128062,10.27130982,9.433601962,8.659991496,9.981577406,8.812231573,9.467662804,7.236850132,9.023648379,8.335422371,7.670674811,10.78644781,8.286416369,9.649546259,7.172337102,8.704245064,8.435245684,7.639061122,7.610005079,8.733199874,7.647673497,7.284240327,7.435612009,7.302023167,7.174834885,7.280645363,8.913323427,8.485624143,7.262517767,8.012077834,7.951564521,8.188817576,12.99985227,10.02261822,7.468388666,7.30670528,7.915422421,7.478509391,8.194799252,7.569031705,7.672502957,7.298494461,8.976549376,7.301390624,10.51751352,7.49559731,10.55973353,9.375321504,10.5396918,7.296562627,8.485461711,7.250323738,8.182472372,7.358856719,7.338797183,8.194116776,8.37873622,8.182327026,9.683546618,7.923230717,9.227071343,7.367849132,8.32283316,8.336402525,Metastasis
GSM531289,10.69440658,9.269461248,8.102144244,9.227805584,7.14917834,8.532238465,7.501237727,10.00539129,8.258348785,9.002900392,8.481317188,7.283872933,7.470172441,7.462272274,7.235155811,7.658265916,7.291212878,9.460143868,8.225625251,9.781861364,12.83998174,9.021908751,8.560742293,10.85959164,9.025937908,9.867206236,7.512671892,7.415527745,7.254792142,9.256594561,8.691436968,9.347137918,8.856088252,12.30228185,7.202881649,7.524617334,10.16394562,11.98937773,9.899239889,8.315517875,10.6235399,8.563983975,9.890701804,7.454317387,9.347554137,8.868166458,8.223654001,11.92161909,7.342946985,9.365622577,7.235463206,8.898126352,8.385616812,7.491856396,7.557140662,9.105554058,8.337755345,7.249495347,8.059809949,7.306029879,7.239571164,7.318947412,9.242894514,8.421942777,7.11743523,8.121055462,8.033148129,9.050552085,13.48334291,9.765140591,7.585479133,7.360871361,7.325097441,7.400831017,8.5150508,7.829473952,7.407683901,7.347078935,9.935824794,7.437945033,9.838969507,7.624474856,11.38889237,9.559148961,10.96637748,7.269731806,8.823887903,7.373293243,8.618705565,7.229388921,7.347767928,9.651096129,9.225884543,8.398943346,9.038324015,7.773527126,9.028285932,7.25102577,8.683216618,10.50368526,Metastasis
GSM531290,11.71400787,8.833871639,7.960909564,9.490850947,7.149603732,9.453632671,7.528844938,10.49243485,8.196391313,8.732746568,7.851531592,7.4057599,7.484006288,7.64373482,7.24717015,7.573161731,7.250643258,9.12480695,8.883180121,10.4824931,12.95793717,9.413468112,9.628466455,10.61275261,9.304434206,10.60747598,7.571272536,7.300416462,9.041281263,8.585579989,8.996767626,9.117982674,7.829002311,11.94137982,7.211091552,7.678445919,9.319869349,11.80224358,10.99087682,8.751712445,10.92947455,8.331012437,9.805542317,7.336269207,8.614434,8.574759397,7.89912591,12.41944798,7.595573974,8.890172349,7.226892076,8.424530287,8.389015968,7.731578132,7.464143108,10.09394226,7.539284988,7.228092547,7.727859138,7.271830264,7.164943672,7.271830264,8.844071943,8.264693595,7.155334973,7.791880459,7.9966887,7.828792895,13.96586393,10.15574876,7.569379989,7.99727,7.44719848,7.909090782,7.889056814,8.161969968,7.425868729,7.435146557,9.742308859,7.667195724,9.102284641,7.593106998,11.32777684,9.668141595,11.94134668,7.305468647,9.006635918,9.934830503,8.766752561,7.310612432,7.339792116,9.652377088,7.420855134,8.4107884,7.587535181,7.798814598,9.828374336,7.458646626,9.466058488,8.357015804,Metastasis
